Date,high,low,open,close,volume,Adj Close
2011-02-07,10509.7998046875,10354.599609375,10457.7998046875,10384.0498046875,0.0,10384.0498046875
2011-02-08,10431.0498046875,10119.4501953125,10431.0498046875,10147.75,0.0,10147.75
2011-02-09,10294.7998046875,10038.150390625,10131.349609375,10116.650390625,0.0,10116.650390625
2011-02-10,10227.75,10017.849609375,10106.25,10074.099609375,0.0,10074.099609375
2011-02-11,10473.4501953125,10061.400390625,10061.400390625,10447.75,0.0,10447.75
2011-02-14,10815.7001953125,10477.849609375,10477.849609375,10802.5498046875,0.0,10802.5498046875
2011-02-15,11035.150390625,10722.7001953125,10821.5,10959.7001953125,0.0,10959.7001953125
2011-02-16,11024.25,10908.650390625,10929.25,10960.7001953125,0.0,10960.7001953125
2011-02-17,11190.2001953125,10918.099609375,10996.25,11134.7001953125,0.0,11134.7001953125
2011-02-18,11300.4501953125,10915.349609375,11153.7998046875,10949.7001953125,0.0,10949.7001953125
2011-02-21,11070.349609375,10806.2998046875,10935.2998046875,11050.099609375,0.0,11050.099609375
2011-02-22,10957.5,10777.650390625,10957.5,10836.7998046875,0.0,10836.7998046875
2011-02-23,10857.849609375,10628.650390625,10776.7998046875,10646.4501953125,0.0,10646.4501953125
2011-02-24,10643.25,10169.0,10603.25,10210.75,0.0,10210.75
2011-02-25,10510.5,10263.150390625,10329.650390625,10435.849609375,0.0,10435.849609375
2011-02-28,10744.849609375,10364.349609375,10512.2001953125,10435.349609375,0.0,10435.349609375
2011-03-01,10906.150390625,10528.349609375,10541.9501953125,10885.400390625,0.0,10885.400390625
2011-03-03,11066.400390625,10759.7001953125,10805.0,10914.5,0.0,10914.5
2011-03-04,11134.099609375,10924.099609375,11008.900390625,10963.400390625,0.0,10963.400390625
2011-03-07,10886.099609375,10658.2998046875,10886.099609375,10782.25,0.0,10782.25
2011-03-08,10962.7001953125,10779.150390625,10782.599609375,10931.5498046875,0.0,10931.5498046875
2011-03-09,11054.0,10904.599609375,10987.400390625,10974.7998046875,0.0,10974.7998046875
2011-03-10,10920.650390625,10783.2998046875,10920.650390625,10850.25,0.0,10850.25
2011-03-11,10904.2001953125,10697.099609375,10772.900390625,10740.9501953125,0.0,10740.9501953125
2011-03-14,10916.650390625,10730.400390625,10730.400390625,10893.25,0.0,10893.25
2011-03-15,10784.2001953125,10591.2998046875,10673.900390625,10725.7998046875,0.0,10725.7998046875
2011-03-16,11001.25,10777.099609375,10777.099609375,10957.599609375,0.0,10957.599609375
2011-03-17,11018.2998046875,10824.400390625,10881.849609375,10851.9501953125,0.0,10851.9501953125
2011-03-18,10927.25,10699.400390625,10882.0,10715.900390625,0.0,10715.900390625
2011-03-21,10814.75,10661.150390625,10795.650390625,10723.599609375,0.0,10723.599609375
2011-03-22,10822.25,10726.25,10759.9501953125,10771.2998046875,0.0,10771.2998046875
2011-03-23,10972.2998046875,10744.7001953125,10755.849609375,10958.099609375,0.0,10958.099609375
2011-03-24,11112.599609375,11001.75,11001.75,11070.349609375,0.0,11070.349609375
2011-03-25,11420.400390625,11136.4501953125,11179.2001953125,11387.2998046875,0.0,11387.2998046875
2011-03-28,11599.0,11348.150390625,11348.849609375,11523.400390625,0.0,11523.400390625
2011-03-29,11657.599609375,11507.4501953125,11522.75,11582.5,0.0,11582.5
2011-03-30,11801.650390625,11625.5,11625.5,11765.2001953125,0.0,11765.2001953125
2011-03-31,11898.400390625,11569.25,11804.9501953125,11705.4501953125,0.0,11705.4501953125
2011-04-01,11738.4501953125,11540.849609375,11713.0498046875,11590.9501953125,0.0,11590.9501953125
2011-04-04,11840.7001953125,11614.4501953125,11614.4501953125,11804.2998046875,0.0,11804.2998046875
2011-04-05,11861.150390625,11678.099609375,11853.599609375,11798.900390625,0.0,11798.900390625
2011-04-06,11838.0498046875,11686.5498046875,11784.5498046875,11730.0498046875,0.0,11730.0498046875
2011-04-07,11825.0,11656.7001953125,11724.75,11754.400390625,0.0,11754.400390625
2011-04-08,11853.349609375,11632.5498046875,11751.7998046875,11673.25,0.0,11673.25
2011-04-11,11637.0,11551.75,11591.0,11597.7998046875,0.0,11597.7998046875
2011-04-13,11856.349609375,11490.5498046875,11531.4501953125,11839.5,0.0,11839.5
2011-04-15,11950.7001953125,11707.599609375,11810.099609375,11735.650390625,0.0,11735.650390625
2011-04-18,11887.099609375,11525.0498046875,11754.2001953125,11539.75,0.0,11539.75
2011-04-19,11631.150390625,11482.150390625,11562.9501953125,11586.75,0.0,11586.75
2011-04-20,11813.7001953125,11614.599609375,11678.7001953125,11794.5498046875,0.0,11794.5498046875
2011-04-21,11926.0498046875,11836.9501953125,11857.4501953125,11894.75,0.0,11894.75
2011-04-25,11978.0498046875,11860.349609375,11860.349609375,11879.0,0.0,11879.0
2011-04-26,11912.4501953125,11709.7998046875,11903.7998046875,11867.7001953125,0.0,11867.7001953125
2011-04-27,11936.349609375,11732.25,11922.2998046875,11779.849609375,0.0,11779.849609375
2011-04-28,11855.2001953125,11659.5,11851.75,11684.7998046875,0.0,11684.7998046875
2011-04-29,11723.25,11406.849609375,11671.0498046875,11483.75,0.0,11483.75
2011-05-02,11543.349609375,11204.650390625,11509.2998046875,11243.7998046875,0.0,11243.7998046875
2011-05-03,11349.5,10849.150390625,11222.0498046875,10898.2998046875,0.0,10898.2998046875
2011-05-04,11013.400390625,10797.599609375,10888.4501953125,10913.349609375,0.0,10913.349609375
2011-05-05,10987.599609375,10677.2998046875,10909.0498046875,10730.099609375,0.0,10730.099609375
2011-05-06,11167.400390625,10751.2998046875,10751.2998046875,11145.099609375,0.0,11145.099609375
2011-05-09,11213.5,10956.349609375,11194.4501953125,11076.5,0.0,11076.5
2011-05-10,11096.900390625,10945.7001953125,11068.599609375,11009.400390625,0.0,11009.400390625
2011-05-11,11097.25,10904.099609375,11036.150390625,11059.0498046875,0.0,11059.0498046875
2011-05-12,11076.0,10865.150390625,11009.2998046875,10887.4501953125,0.0,10887.4501953125
2011-05-13,11180.400390625,10838.150390625,10896.5498046875,11020.9501953125,0.0,11020.9501953125
2011-05-16,10975.150390625,10878.650390625,10975.150390625,10912.349609375,0.0,10912.349609375
2011-05-17,10972.4501953125,10617.150390625,10920.9501953125,10668.849609375,0.0,10668.849609375
2011-05-18,10695.7001953125,10550.9501953125,10669.599609375,10599.0498046875,0.0,10599.0498046875
2011-05-19,10674.7001953125,10524.349609375,10661.4501953125,10558.349609375,0.0,10558.349609375
2011-05-20,10727.25,10540.9501953125,10582.4501953125,10664.099609375,0.0,10664.099609375
2011-05-23,10612.5498046875,10339.9501953125,10612.5498046875,10368.25,0.0,10368.25
2011-05-24,10524.7998046875,10360.75,10360.9501953125,10425.5498046875,0.0,10425.5498046875
2011-05-25,10428.25,10340.650390625,10427.150390625,10355.7998046875,0.0,10355.7998046875
2011-05-26,10501.900390625,10379.25,10404.0498046875,10468.2998046875,0.0,10468.2998046875
2011-05-27,10735.2001953125,10491.4501953125,10491.4501953125,10722.650390625,0.0,10722.650390625
2011-05-30,10823.25,10715.099609375,10742.0,10781.4501953125,0.0,10781.4501953125
2011-06-01,11056.400390625,10959.099609375,11011.2001953125,11033.400390625,0.0,11033.400390625
2011-06-02,10881.400390625,10802.349609375,10872.25,10839.25,0.0,10839.25
2011-06-03,10946.75,10751.099609375,10860.25,10782.0,0.0,10782.0
2011-06-06,10873.900390625,10682.2998046875,10734.25,10854.650390625,0.0,10854.650390625
2011-06-07,10918.25,10796.150390625,10799.349609375,10873.4501953125,0.0,10873.4501953125
2011-06-08,10882.2998046875,10764.7001953125,10816.400390625,10791.4501953125,0.0,10791.4501953125
2011-06-09,10850.349609375,10734.75,10775.4501953125,10785.400390625,0.0,10785.400390625
2011-06-10,10814.849609375,10627.599609375,10800.4501953125,10714.25,0.0,10714.25
2011-06-13,10757.400390625,10616.0498046875,10675.2998046875,10717.5,0.0,10717.5
2011-06-14,10830.400390625,10737.2998046875,10737.2998046875,10803.9501953125,0.0,10803.9501953125
